,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,lgcyViewCmplt
12,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,1
13,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,,1
14,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,1
15,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete', 'simpCustColdView', 'simpCustColdIntent'],,,,,,,,,,,,,,,,,,,,1
16,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'poCustColdView', 'poCustColdComplete', 'progDistColdView', 'progDistColdIntent', 'progDistColdComplete', 'progCustColdView', 'progMembInvtView', 'progMembInvtIntent', 'progMembInvtComplete'],,,,,,,,,,,,,,,,,,,,,,,,,1
17,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,1
18,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'simpDistColdView', 'simpDistColdIntent', 'simpDistColdComplete', 'simpDistInvtLanding', 'simpDistInvtAccept', 'simpDistInvtView', 'simpDistInvtIntent', 'progDistColdComplete'],,,,,,,,,,,,,,,,,,,,,,,,,,1
19,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,,,,1
20,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,,,,1
21,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,,1
