,Event Action,Country Code (URL),Total Events,Unique Events,Event Value,Avg. Value,new
1116,legacyMembColdIntent,ES,10,10,0,0.0,True
1056,legacyMembColdSubmit,ES,20,10,0,0.0,True
1254,legacyMembColdVerify,ES,1,1,0,0.0,True
1249,legacyMembColdComplete,ES,1,1,0,0.0,True
51,legacyDistInvtView,ES,7206,4264,0,0.0,True
250,legacyDistInvtIntent,ES,1681,1380,0,0.0,True
227,legacyDistInvtSubmit,ES,1893,1100,0,0.0,True
341,legacyDistInvtVerify,ES,1012,927,0,0.0,True
360,legacyDistInvtComplete,ES,919,908,0,0.0,True
140,legacyCustInvtView,ES,3246,2219,0,0.0,True
471,legacyCustInvtSubmit,ES,559,376,0,0.0,True
627,legacyCustInvtVerify,ES,301,283,0,0.0,True
631,legacyCustInvtComplete,ES,294,281,0,0.0,True
189,legacyMembInvtView,ES,2394,1650,0,0.0,True
492,legacyMembInvtIntent,ES,509,441,0,0.0,True
490,legacyMembInvtSubmit,ES,510,353,0,0.0,True
624,legacyMembInvtVerify,ES,307,296,0,0.0,True
630,legacyMembInvtComplete,ES,295,290,0,0.0,True
28,poCustColdView,ES,10745,9260,0,0.0,True
70,poCustColdComplete,ES,5981,5795,0,0.0,True
654,legacyDistColdView,FI,260,183,0,0.0,True
945,legacyDistColdIntent,FI,55,49,0,0.0,True
920,legacyDistColdSubmit,FI,64,37,0,0.0,True
984,legacyDistColdVerify,FI,36,35,0,0.0,True
975,legacyDistColdComplete,FI,38,37,0,0.0,True
615,legacyCustColdView,FI,320,180,0,0.0,True
742,legacyCustColdSubmit,FI,178,92,0,0.0,True
1044,legacyCustColdVerify,FI,22,22,0,0.0,True
1039,legacyCustColdComplete,FI,23,23,0,0.0,True
1216,legacyMembColdView,FI,2,0,0,0.0,True
1251,legacyMembColdIntent,FI,1,0,0,0.0,True
1253,legacyMembColdSubmit,FI,1,1,0,0.0,True
364,legacyDistInvtView,FI,901,492,0,0.0,True
689,legacyDistInvtIntent,FI,228,193,0,0.0,True
604,legacyDistInvtSubmit,FI,336,159,0,0.0,True
797,legacyDistInvtVerify,FI,140,138,0,0.0,True
777,legacyDistInvtComplete,FI,151,150,0,0.0,True
943,legacyCustInvtView,FI,56,40,0,0.0,True
1048,legacyCustInvtSubmit,FI,21,10,0,0.0,True
1123,legacyCustInvtVerify,FI,9,9,0,0.0,True
1122,legacyCustInvtComplete,FI,9,9,0,0.0,True
437,legacyMembInvtView,FI,659,345,0,0.0,True
705,legacyMembInvtIntent,FI,216,188,0,0.0,True
609,legacyMembInvtSubmit,FI,327,165,0,0.0,True
775,legacyMembInvtVerify,FI,152,151,0,0.0,True
771,legacyMembInvtComplete,FI,155,154,0,0.0,True
693,poCustColdView,FI,226,194,0,0.0,True
761,poCustColdComplete,FI,162,152,0,0.0,True
100,legacyDistColdView,FR,4537,2760,0,0.0,True
365,legacyDistColdIntent,FR,899,742,0,0.0,True
317,legacyDistColdSubmit,FR,1110,592,0,0.0,True
468,legacyDistColdVerify,FR,562,468,0,0.0,True
493,legacyDistColdComplete,FR,497,490,0,0.0,True
112,legacyCustColdView,FR,4161,2772,0,0.0,True
269,legacyCustColdSubmit,FR,1503,1101,0,0.0,True
480,legacyCustColdVerify,FR,530,509,0,0.0,True
474,legacyCustColdComplete,FR,548,534,0,0.0,True
1067,legacyMembColdView,FR,18,8,0,0.0,True
1211,legacyMembColdIntent,FR,2,0,0,0.0,True
1255,legacyMembColdVerify,FR,1,1,0,0.0,True
1208,legacyMembColdComplete,FR,2,2,0,0.0,True
68,legacyDistInvtView,FR,6234,3590,0,0.0,True
267,legacyDistInvtIntent,FR,1562,1218,0,0.0,True
261,legacyDistInvtSubmit,FR,1611,837,0,0.0,True
397,legacyDistInvtVerify,FR,799,688,0,0.0,True
413,legacyDistInvtComplete,FR,718,714,0,0.0,True
113,legacyCustInvtView,FR,4132,2817,0,0.0,True
322,legacyCustInvtSubmit,FR,1094,780,0,0.0,True
408,legacyCustInvtVerify,FR,741,709,0,0.0,True
402,legacyCustInvtComplete,FR,761,735,0,0.0,True
111,legacyMembInvtView,FR,4177,2537,0,0.0,True
273,legacyMembInvtIntent,FR,1462,1246,0,0.0,True
292,legacyMembInvtSubmit,FR,1292,936,0,0.0,True
353,legacyMembInvtVerify,FR,939,911,0,0.0,True
354,legacyMembInvtComplete,FR,935,921,0,0.0,True
31,poCustColdView,FR,10330,8572,0,0.0,True
59,poCustColdComplete,FR,6556,6181,0,0.0,True
1237,Customer,FR,1,1,0,0.0,False
16,legacyDistColdView,GB,15925,9853,0,0.0,True
88,legacyDistColdIntent,GB,5034,4118,0,0.0,True
96,legacyDistColdSubmit,GB,4675,3038,0,0.0,True
136,legacyDistColdVerify,GB,3297,2983,0,0.0,True
134,legacyDistColdComplete,GB,3491,3224,0,0.0,True
64,legacyCustColdView,GB,6311,3920,0,0.0,True
166,legacyCustColdSubmit,GB,2786,1581,0,0.0,True
491,legacyCustColdVerify,GB,509,505,0,0.0,True
512,legacyCustColdComplete,GB,454,453,0,0.0,True
787,legacyMembColdView,GB,145,98,0,0.0,True
1064,legacyMembColdIntent,GB,19,17,0,0.0,True
1071,legacyMembColdSubmit,GB,17,12,0,0.0,True
1128,legacyMembColdVerify,GB,9,9,0,0.0,True
1163,legacyMembColdComplete,GB,5,5,0,0.0,True
25,legacyDistInvtView,GB,13135,6670,0,0.0,True
121,legacyDistInvtIntent,GB,3826,2968,0,0.0,True
98,legacyDistInvtSubmit,GB,4617,2280,0,0.0,True
212,legacyDistInvtVerify,GB,2103,1983,0,0.0,True
206,legacyDistInvtComplete,GB,2190,2126,0,0.0,True
396,legacyCustInvtView,GB,804,504,0,0.0,True
715,legacyCustInvtSubmit,GB,205,101,0,0.0,True
862,legacyCustInvtVerify,GB,92,92,0,0.0,True
898,legacyCustInvtComplete,GB,79,79,0,0.0,True
192,legacyMembInvtView,GB,2369,1259,0,0.0,True
404,legacyMembInvtIntent,GB,761,622,0,0.0,True
372,legacyMembInvtSubmit,GB,873,469,0,0.0,True
509,legacyMembInvtVerify,GB,462,446,0,0.0,True
529,legacyMembInvtComplete,GB,420,416,0,0.0,True
4,poCustColdView,GB,31184,27000,0,0.0,True
9,poCustColdComplete,GB,21924,20683,0,0.0,True
1196,simpCustColdView,GB,3,2,0,0.0,True
1264,simpCustColdIntent,GB,1,1,0,0.0,True
158,legacyDistColdView,HK,2885,1634,0,0.0,True
444,legacyDistColdIntent,HK,639,528,0,0.0,True
420,legacyDistColdSubmit,HK,704,398,0,0.0,True
506,legacyDistColdVerify,HK,465,390,0,0.0,True
560,legacyDistColdComplete,HK,389,382,0,0.0,True
237,legacyDistInvtView,HK,1763,1102,0,0.0,True
644,legacyDistInvtIntent,HK,274,230,0,0.0,True
623,legacyDistInvtSubmit,HK,309,148,0,0.0,True
786,legacyDistInvtVerify,HK,145,132,0,0.0,True
808,legacyDistInvtComplete,HK,137,136,0,0.0,True
773,poCustColdView,HK,153,134,0,0.0,True
895,poCustColdComplete,HK,81,79,0,0.0,True
215,progDistColdView,HK,2045,1480,0,0.0,True
306,progDistColdIntent,HK,1192,871,0,0.0,True
345,progDistColdComplete,HK,990,771,0,0.0,True
1260,progCustColdView,HK,1,1,0,0.0,True
401,progMembInvtView,HK,762,583,0,0.0,True
1144,progMembInvtIntent,HK,7,6,0,0.0,True
